id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
1,2,Queso fundido en porciones light La Vaca Que Ríe sin gluten 250 g.,2.89,0.25,," Grupo Fromageries Bel España, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/002774_00_1.jpg
2,2,Codillo de jamón asado Tello 600 g,6.45,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/463137_00_1.jpg
3,2,Filete de contramuslo de pollo Coren 600 g aprox,4.41,,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/117751_00_1.jpg
4,2,Crema de queso con finas hierbas Arla 200 g.,1.99,0.2,, Arla Foods,,https://static.carrefour.es/hd_350x_/img_pim_food/128524_00_1.jpg
5,2,Jamoncitos de pollo campero Calidad y Origen Carrefour 650 g aprox,5.97,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/826987_00_1.jpg
6,2,Salchichas BIG queso El Pozo sin gluten pack de 3 unidades de 200 g.,2.5,0.66,, ELPOZO ALIMENTACION SA,,https://static.carrefour.es/hd_350x_/img_pim_food/426766_00_1.jpg
7,2,Queso de mezcla semicurado ya cortado García Baquero sin lactosa de 200 g,5.15,0.2,," Lácteas García Baquero, S.A.",,https://static.carrefour.es/hd_350x_/img_pim_food/678224_00_1.jpg
8,2,Escalope de Pollo Ecológico Carrefour Bio 220 g,3.61,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/333868_00_1.jpg
9,2,Mejillón tigre relleno congelado Carrefour 400 g,2.6,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/310328_00_1.jpg
10,2,Panecillos de pan artesanos seis cereales Carrefour envase 3 ud,1.38,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/907544_00_1.jpg
11,2,Ensalada pasta y rúcula Carrefour 335 g,3.05,0.335,, CARREFOUR S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/988651_00_1.jpg
12,2,Queso rallado cinco quesos Miraflores 150 g.,3.25,0.15,," LACTEAS FLOR DE BURGOS, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/947512_00_1.jpg
13,2,Tiernecitos redondos Carrefour 2 ud,1.1,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/057490_00_1.jpg
14,2,Mousse de queso con nueces Rondelé Président 125 g.,2.29,0.125,, Lactalis Forlasa S.L.U.,,https://static.carrefour.es/hd_350x_/img_pim_food/143734_00_1.jpg
15,2,Pak Choi Carrefour a granel 1 kg aprox,1.42,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/017434_00_1.jpg
16,2,Preparado de carne picada mixta Círculo de Calidad 400 g,4.19,0.4,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/387507_00_1.jpg
17,2,Manzana royal gala selecta bandeja 4 ud 1 kg aprox,3.99,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/061059_00_1.jpg
18,2,Canelones tradicionales Carrefour 350 g,3.3,0.35,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/799002_00_1.jpg
19,2,Queso semicurado en lonchas Gran Capitán 160 g.,4.59,0.16,, Lactalis Forlasa S.L.U.,,https://static.carrefour.es/hd_350x_/img_pim_food/882492_00_1.jpg
20,2,Queso fresco pasterizado Burgo de Arias 108 g.,1.57,0.108,, Mantequerias Arias,,https://static.carrefour.es/hd_350x_/img_pim_food/646961_00_1.jpg
21,2,Picos camperos de centeno y quinoa 200 g,2.15,0.2,," DILLEPASA, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/856343_00_1.jpg
22,2,Burger 100% Vegetal Sensational Garden Gourmet 226 g.,5.15,0.226,," Nestlé España, S.A.",,https://static.carrefour.es/hd_350x_/img_pim_food/443626_00_1.jpg
23,2,Pan de molde con corteza tierna Bimbo 460 g.,2.59,0.46,," BIMBO DONUTS IBERIA, S.A.U.",,https://static.carrefour.es/hd_350x_/img_pim_food/698958_00_1.jpg
24,2,Chorizo ibérico de bellota Pura Estirpe taco de 500 g aprox,8.99,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/702123_00_1.jpg
25,2,Pan de molde familiar rebanada gruesa Bimbo 700 g.,2.49,0.75,," Bimbo, S.A.U.",,https://static.carrefour.es/hd_350x_/img_pim_food/308489_00_1.jpg
26,2,Tabulé oriental 400 g,2.75,0.4,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/772170_00_1.jpg
27,2,Queso semicurado en lonchas Navidul 70 g.,1.0,0.7,, Campofrio Food Group S.A.,,assets/imageproductonoencontrada.jpg
28,2,Queso rallado parmigiano Galbani 60 g.,2.89,0.6,, Lactalis Forlasa S.L.U.,,assets/imageproductonoencontrada.jpg
29,2,Jamón Cocido Extra en finas lonchas Carrefour El Mercado 200 g,2.09,,,,,assets/imageproductonoencontrada.jpg
30,2,Pechuga de pavo ecológica en lonchas Carrefour Bio sin gluten 90 g,2.65,0.9,, Centros Comerciales Carrefour S.A.,,assets/imageproductonoencontrada.jpg
31,2,"Queso fresco de Burgos bajo contenido de sal Carrefour pack de 4 unidades de 62,5 g.",1.16,0.25,, Centros Comerciales Carrefour,,assets/imageproductonoencontrada.jpg
32,2,Queso fresco de cabra Burgo de Arias pack de 3 unidades de 70 g.,4.28,0.21,, Mantequerias Arias,,assets/imageproductonoencontrada.jpg
33,2,Brocoli Carrefour 230 g,1.42,,,,,assets/imageproductonoencontrada.jpg
34,2,Apio verde 400 g,1.34,,,,,assets/imageproductonoencontrada.jpg
35,2,Queso fresco tradicional Carrefour 250 g.,1.99,0.25,, Centros Comerciales Carrefour S.A,,assets/imageproductonoencontrada.jpg
36,2,Acelgas manojo de 800 g aprox,2.09,,,,,assets/imageproductonoencontrada.jpg
37,2,Queso fundido en lonchas light El Caserío sin gluten 300 g.,2.55,0.3,," Mondelez España Commercial, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/702943_00_1.jpg
38,2,Tomate pera ecológico Carrefour Bio 500 g,2.55,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/271982_00_1.jpg
39,2,Palitos de mar 360 g,5.25,0.4,, Angulas Aguinaga S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/714020_00_1.jpg
40,2,Queso rallado filatto especial pasta El Caserío 80 g.,1.55,0.8,," Mondelez España Commercial, S.L.",,https://static.carrefour.es/hd_350x_/img_pim_food/167044_00_1.jpg
41,2,Kiwi ecológico 500 g,3.15,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/379175_00_1.jpg
42,2,Mortadela de pavo en lonchas El Pozo sin gluten 225 g.,2.39,0.225,, ElPozo ALIMENTACION SA,,https://static.carrefour.es/hd_350x_/img_pim_food/710112_00_1.jpg
43,2,Pan rebanado hogaza 500 g,1.99,0.5,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/503317_00_1.jpg
44,2,Manzana pink lady ecológica bandeja 4 ud 600 g,3.69,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/281581_00_1.jpg
