id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
1,1,Aceite de oliva virgen extra Maestros de Hojiblanca garrafa 3l,19.47,2.74,,HOJIBLANCA,Aceites,https://www.ahorramas.com/aceite-de-oliva-virgen-extra-maestros-de-hojiblanca-garrafa-3l-56752.html
2,1,Donuts pack 2 nocilla,1.99,0.14,,DONUTS,Berlinas de chocolate y glaseadas,https://www.ahorramas.com/donuts-pack-2-nocilla-59978.html
3,1,Aceite de oliva Abril 2l suave,9.98,2.0,,ABRIL,Aceites,https://www.ahorramas.com/aceite-de-oliva-abril-2l-suave-25105.html
4,1,"Aceite de oliva Carbonell garrafa 3l 0,4º",17.49,2.75,,CARBONELL,Aceites,https://www.ahorramas.com/aceite-de-oliva-carbonell-garrafa-3l-04-77029.html
5,1,Pan de molde sin corteza Bimbo 450g,2.49,,,BIMBO,Pan de molde,https://www.ahorramas.com/pan-de-molde-sin-corteza-bimbo-450g-54398.html
6,1,Caldo casero Gallina Blanca 1l pollo 100% natural,2.2,1.0,,GALLINA BLANCA,Sopas y caldos,https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-pollo-100-natural-29420.html
7,1,Bonito Alipende 73g en aceite oliva,1.59,0.07,,ALIPENDE,Bonito y Ventresca,https://www.ahorramas.com/bonito-alipende-73g-en-aceite-oliva-75839.html
8,1,Café molido Marcilla 500g natural,5.99,0.5,,MARCILLA,Cafés,https://www.ahorramas.com/cafe-molido-marcilla-500g-natural-55646.html
9,1,Donuts pack 4 glacé,2.39,,,DONUTS,Berlinas de chocolate y glaseadas,https://www.ahorramas.com/donuts-pack-4-glace-2951.html
10,1,Pan de molde artesano Bimbo 550g,2.69,0.55,,BIMBO,Pan de molde,https://www.ahorramas.com/pan-de-molde-artesano-bimbo-550g-41956.html
11,1,Hogaza de pan The Rustik Bakery 450g,2.49,0.4,,THE RUSTIK BAKERY,Pan de molde,https://www.ahorramas.com/hogaza-de-pan-the-rustik-bakery-450g-48388.html
12,1,Ketchup Heinz 700g,3.49,0.7,,HEINZ,Ketchup,https://www.ahorramas.com/ketchup-heinz-700g-19179.html
13,1,Garbanzo cocido Luengo 400g,1.1,0.4,,LUENGO,Legumbres,https://www.ahorramas.com/garbanzo-cocido-luengo-400g-44569.html
14,1,Tomate frito sin gluten abre fácil Orlando 780g,1.59,0.8,,ORLANDO,Tomate frito,https://www.ahorramas.com/tomate-frito-sin-gluten-abre-facil-orlando-780g-40038.html
15,1,Bonito Consorcio 260g en aceite oliva,7.49,0.26,,CONSORCIO,Bonito y Ventresca,https://www.ahorramas.com/bonito-consorcio-260g-en-aceite-oliva-84393.html
